Kecamatan;Luas Panen 2016;Luas Panen 2017;Luas Panen 2018;Luas Panen 2019;Luas Panen 2020;Luas Panen 2021;Luas Panen 2022;Luas Panen 2023;Luas Panen 2024;Produksi 2016;Produksi 2017;Produksi 2018;Produksi 2019;Produksi 2020;Produksi 2021;Produksi 2022;Produksi 2023;Produksi 2024;Produktivitas 2016;Produktivitas 2017;Produktivitas 2018;Produktivitas 2019;Produktivitas 2020;Produktivitas 2021;Produktivitas 2022;Produktivitas 2023;Produktivitas 2024
Kebonsari;10283;8446;8692;7662;9960;8735;8540;8709;8710;62836;51614;55098;49370;69232;60278;57722;60131;60090;6;6;6;6;7;7;7;7;7
Geger;6229;5394;5653;5581;5622;5631;5820;5651;5630;37374;34302;36391;35673;38502;38782;39364;38918;38673;6;6;6;6;7;7;7;7;7
Dolopo;4650;4033;4002;4059;4258;4253;4264;4207;4094;27900;25479;25909;26028;29624;29359;28824;29104;28292;6;6;6;6;7;7;7;7;7
Dagangan;6377;5691;5473;5342;5417;4753;5598;5534;4958;39537;36010;35510;34389;37686;32785;37838;38143;34254;6;6;6;6;7;7;7;7;7
Wungu;7251;6785;7319;5935;5263;5880;6083;6279;5963;43506;43089;46160;38217;36413;40507;41131;43113;40990;6;6;6;6;7;7;7;7;7
Kare;3389;3223;3440;3067;2997;1717;1926;1904;1303;20296;20474;21718;19636;20576;11820;13008;13025;8899;6;6;6;6;7;7;7;7;7
Gemarang;2143;1868;1904;1767;1766;2211;1988;2132;2235;12752;11817;12092;11369;12312;15246;13431;14740;15439;6;6;6;6;7;7;7;7;7
Saradan;10190;9467;9452;7960;8664;10179;9433;8662;9824;60075;56054;59596;51137;59814;70069;63776;59780;67375;6;6;6;6;7;7;7;7;7
Pilangkenceng;10094;9817;10280;10305;9839;10091;10078;10473;10382;66248;61594;66627;66241;68415;69608;68133;72357;71587;7;6;6;6;7;7;7;7;7
Mejayan;5404;5354;5408;5259;5227;4886;4568;2901;4198;33470;34050;34843;33618;36031;33665;30894;20009;28504;6;6;6;6;7;7;7;7;7
Wonoasri;4585;4629;4637;4440;4388;4221;4020;4078;4222;29815;28922;29858;28419;30130;29079;27175;28013;29061;7;6;6;6;7;7;7;7;7
Balerejo;11929;11815;11919;11946;12082;11800;10787;11594;11077;73622;73590;76543;76309;81458;81247;72964;79017;75161;6;6;6;6;7;7;7;7;7
Madiun;5517;5504;5551;5512;5506;5804;5695;5604;5704;35274;34379;35398;35272;37764;39978;38508;38572;39001;6;6;6;6;7;7;7;7;7
Sawahan;3914;4046;4346;4203;4207;4494;4498;4366;4480;25375;25492;27587;26842;28786;30948;30422;29947;30764;6;6;6;6;7;7;7;7;7
Jiwan;4480;4576;4621;4440;4396;4616;4627;4570;4485;28056;28495;29929;28601;30741;31867;31269;31608;31008;6;6;6;6;7;7;7;7;7
