Kecamatan;Tahun;Luas Tanam;Luas Panen;Produksi;Produktivitas
Kebonsari ;2016;8650;10283;62836;6,11
Kebonsari ;2017;8446;8446;51614;6,11
Kebonsari ;2018;8692;8692;55098;6,34
Kebonsari ;2019;8592;7662;49370;6,44
Kebonsari ;2020;9030;9960;69232;6,95
Kebonsari ;2021;8735;8735;60278;6,90
Kebonsari ;2022;8540;8540;57722;6,76
Kebonsari ;2023;8730;8709;60131;6,90
Kebonsari ;2024;8710;8710;60090;6,90
Geger ;2016;5185;6229;37374;6,00
Geger ;2017;4028;5394;34302;6,36
Geger ;2018;4044;5653;36391;6,44
Geger ;2019;5590;5581;35673;6,39
Geger ;2020;5631;5622;38502;6,85
Geger ;2021;5631;5631;38782;6,89
Geger ;2022;5820;5820;39364;6,76
Geger ;2023;5644;5651;38918;6,89
Geger ;2024;5616;5630;38673;6,87
Dolopo ;2016;4020;4650;27900;6,00
Dolopo ;2017;5394;4033;25479;6,32
Dolopo ;2018;5653;4002;25909;6,47
Dolopo ;2019;4023;4059;26028;6,41
Dolopo ;2020;4258;4258;29624;6,96
Dolopo ;2021;4303;4253;29359;6,90
Dolopo ;2022;4214;4264;28824;6,76
Dolopo ;2023;4207;4207;29104;6,92
Dolopo ;2024;4245;4094;28292;6,91
Dagangan ;2016;5536;6377;39537;6,20
Dagangan ;2017;5691;5691;36010;6,33
Dagangan ;2018;5476;5473;35510;6,49
Dagangan ;2019;5417;5342;34389;6,44
Dagangan ;2020;5417;5417;37686;6,96
Dagangan ;2021;4753;4753;32785;6,90
Dagangan ;2022;5587;5598;37838;6,76
Dagangan ;2023;5547;5534;38143;6,89
Dagangan ;2024;5116;4958;34254;6,91
Wungu ;2016;6764;7251;43506;6,00
Wungu ;2017;6943;6785;43089;6,35
Wungu ;2018;7014;7319;46160;6,31
Wungu ;2019;6131;5935;38217;6,44
Wungu ;2020;5225;5263;36413;6,92
Wungu ;2021;5868;5880;40507;6,89
Wungu ;2022;6098;6083;41131;6,76
Wungu ;2023;6279;6279;43113;6,87
Wungu ;2024;6368;5963;40990;6,87
Kare ;2016;3225;3389;20296;5,99
Kare ;2017;3223;3223;20474;6,35
Kare ;2018;3440;3440;21718;6,31
Kare ;2019;3107;3067;19636;6,40
Kare ;2020;3000;2997;20576;6,87
Kare ;2021;1681;1717;11820;6,88
Kare ;2022;1896;1926;13008;6,75
Kare ;2023;1812;1904;13025;6,84
Kare ;2024;1308;1303;8899;6,83
Gemarang ;2016;2284;2143;12752;5,95
Gemarang ;2017;1868;1868;11817;6,33
Gemarang ;2018;1904;1904;12092;6,35
Gemarang ;2019;1767;1767;11369;6,43
Gemarang ;2020;1766;1766;12312;6,97
Gemarang ;2021;2211;2211;15246;6,90
Gemarang ;2022;1988;1988;13431;6,76
Gemarang ;2023;2132;2132;14740;6,91
Gemarang ;2024;2110;2235;15439;6,91
Saradan ;2016;9615;10190;60075;5,90
Saradan ;2017;9467;9467;56054;5,92
Saradan ;2018;9452;9452;59596;6,31
Saradan ;2019;7960;7960;51137;6,42
Saradan ;2020;8669;8664;59814;6,90
