Kecamatan,Tahun,Luas_Tanam,Luas_Panen,Produksi,Produktivitas
Kebonsari,2016,8650,10283,62836,6.11
Geger,2016,5185,6229,37374,6.00
Dolopo,2016,4020,4650,27900,6.00
Dagangan,2016,5536,6377,39537,6.20
Wungu,2016,6764,7251,43506,6.00
Kare,2016,3225,3389,20296,5.99
Gemarang,2016,2284,2143,12752,5.95
Saradan,2016,9615,10190,60075,5.90
Pilangkenceng,2016,9579,10094,66248,6.56
Mejayan,2016,5217,5404,33470,6.19
Wonoasri,2016,4626,4585,29815,6.50
Balerejo,2016,11967,11929,73622,6.17
Madiun,2016,5517,5517,35274,6.39
Sawahan,2016,3914,3914,25375,6.48
Jiwan,2016,4486,4480,28056,6.26
