Kecamatan;Luas Panen 2016;Luas Panen 2017;Luas Panen 2018;Luas Panen 2019;Luas Panen 2020;Luas Panen 2021;Luas Panen 2022;Luas Panen 2023;Luas Panen 2024;Produksi 2016;Produksi 2017;Produksi 2018;Produksi 2019;Produksi 2020;Produksi 2021;Produksi 2022;Produksi 2023;Produksi 2024;Produktivitas 2016;Produktivitas 2017;Produktivitas 2018;Produktivitas 2019;Produktivitas 2020;Produktivitas 2021;Produktivitas 2022;Produktivitas 2023;Produktivitas 2024
 Kebonsari ;10.283;8.446;8.692;7.662;9.960;8.735;8.540;8.709;8.710;62.836;51.614;55.098;49.370;69.232;60.278;57.722;60.131;60.090;6,11;6,11;6,34;6,44;6,95;6,9;6,76;6,9;6,9
 Geger ;6.229;5.394;5.653;5.581;5.622;5.631;5.820;5.651;5.630;37.374;34.302;36.391;35.673;38.502;38.782;39.364;38.918;38.673;6;6,36;6,44;6,39;6,85;6,89;6,76;6,89;6,87
 Dolopo ;4.650;4.033;4.002;4.059;4.258;4.253;4.264;4.207;4.094;27.900;25.479;25.909;26.028;29.624;29.359;28.824;29.104;28.292;6;6,32;6,47;6,41;6,96;6,9;6,76;6,92;6,91
 Dagangan ;6.377;5.691;5.473;5.342;5.417;4.753;5.598;5.534;4.958;39.537;36.010;35.510;34.389;37.686;32.785;37.838;38.143;34.254;6,2;6,33;6,49;6,44;6,96;6,9;6,76;6,89;6,91
 Wungu ;7.251;6.785;7.319;5.935;5.263;5.880;6.083;6.279;5.963;43.506;43.089;46.160;38.217;36.413;40.507;41.131;43.113;40.990;6;6,35;6,31;6,44;6,92;6,89;6,76;6,87;6,87
 Kare ;3.389;3.223;3.440;3.067;2.997;1.717;1.926;1.904;1.303;20.296;20.474;21.718;19.636;20.576;11.820;13.008;13.025;8.899;5,99;6,35;6,31;6,4;6,87;6,88;6,75;6,84;6,83
 Gemarang ;2.143;1.868;1.904;1.767;1.766;2.211;1.988;2.132;2.235;12.752;11.817;12.092;11.369;12.312;15.246;13.431;14.740;15.439;5,95;6,33;6,35;6,43;6,97;6,9;6,76;6,91;6,91
 Saradan ;10.190;9.467;9.452;7.960;8.664;10.179;9.433;8.662;9.824;60.075;56.054;59.596;51.137;59.814;70.069;63.776;59.780;67.375;5,9;5,92;6,31;6,42;6,9;6,88;6,76;6,9;6,86
 Pilangkenceng ;10.094;9.817;10.280;10.305;9.839;10.091;10.078;10.473;10.382;66.248;61.594;66.627;66.241;68.415;69.608;68.133;72.357;71.587;6,56;6,27;6,48;6,43;6,95;6,9;6,76;6,91;6,9
 Mejayan ;5.404;5.354;5.408;5.259;5.227;4.886;4.568;2.901;4.198;33.470;34.050;34.843;33.618;36.031;33.665;30.894;20.009;28.504;6,19;6,36;6,44;6,39;6,89;6,89;6,76;6,9;6,79
 Wonoasri ;4.585;4.629;4.637;4.440;4.388;4.221;4.020;4.078;4.222;29.815;28.922;29.858;28.419;30.130;29.079;27.175;28.013;29.061;6,5;6,25;6,44;6,4;6,87;6,89;6,76;6,87;6,88
 Balerejo ;11.929;11.815;11.919;11.946;12.082;11.800;10.787;11.594;11.077;73.622;73.590;76.543;76.309;81.458;81.247;72.964;79.017;75.161;6,17;6,23;6,42;6,39;6,74;6,89;6,76;6,82;6,79
 Madiun ;5.517;5.504;5.551;5.512;5.506;5.804;5.695;5.604;5.704;35.274;34.379;35.398;35.272;37.764;39.978;38.508;38.572;39.001;6,39;6,25;6,38;6,4;6,86;6,89;6,76;6,88;6,84
 Sawahan ;3.914;4.046;4.346;4.203;4.207;4.494;4.498;4.366;4.480;25.375;25.492;27.587;26.842;28.786;30.948;30.422;29.947;30.764;6,48;6,3;6,35;6,39;6,84;6,89;6,76;6,86;6,87
 Jiwan ;4.480;4.576;4.621;4.440;4.396;4.616;4.627;4.570;4.485;28.056;28.495;29.929;28.601;30.741;31.867;31.269;31.608;31.008;6,26;6,23;6,48;6,44;6,99;6,9;6,76;6,92;6,91
